Protein_ID,Source,Num_Pockets,Top_Score,Top_Probability,Center_X,Center_Y,Center_Z,Surf_Atoms
clean_8J8T,pdb,1,8.9,0.476,12.508,4.61,14.986,57.0
clean_5QRK,pdb,0,,,,,,
clean_3KR8,pdb,9,47.92,0.977,41.778,-20.219,-15.269,147.0
clean_8HN9,pdb,5,20.81,0.862,40.071,51.18,20.084,91.0
clean_5G3N,pdb,6,17.49,0.803,7.022,4.345,0.977,37.0
clean_7RSP,pdb,15,16.02,0.768,35.252,-3.534,85.254,39.0
clean_5H6Y,pdb,1,9.91,0.533,0.811,12.15,-7.284,39.0
clean_4WO5,pdb,5,27.05,0.918,-36.861,-15.322,-44.082,55.0
clean_6CID,pdb,9,168.16,0.999,117.365,247.302,343.559,335.0
clean_6ZU8,pdb,1,6.17,0.307,0.639,-0.814,-7.983,32.0
clean_7FT4,pdb,13,4.79,0.212,-31.694,-6.818,-47.992,18.0
clean_5Q7R,pdb,7,29.62,0.932,6.591,15.681,30.392,58.0
clean_4DOS,pdb,2,48.75,0.978,-17.621,-23.268,7.3,87.0
clean_4QJC,pdb,2,37.2,0.957,-5.071,-19.237,-29.667,95.0
clean_1KZY,pdb,7,9.44,0.507,30.548,23.342,50.252,48.0
clean_2QU6,pdb,7,13.25,0.679,40.011,29.274,13.576,35.0
clean_4U8Z,pdb,2,11.42,0.61,17.31,-34.425,16.599,47.0
clean_7F5E,pdb,1,7.61,0.402,5.563,-4.417,27.097,39.0
clean_4QSY,pdb,1,2.34,0.06,-6.35,17.948,5.013,18.0
clean_8PTR,pdb,2,21.67,0.873,-36.135,-21.274,-7.104,53.0
clean_3QQP,pdb,23,47.49,0.976,-24.324,-1.646,10.459,111.0
clean_4RZG,pdb,11,7.4,0.387,12.736,-8.446,-19.585,18.0
clean_5DIS,pdb,39,31.81,0.94,-20.559,-30.481,-34.314,86.0
clean_3GEB,pdb,13,12.87,0.665,34.399,-7.94,-29.626,68.0
clean_7ZLQ,pdb,0,,,,,,
clean_7AJ5,pdb,4,11.48,0.612,42.828,4.735,12.647,42.0
clean_6UNT,pdb,0,,,,,,
clean_6GKD,pdb,62,14.99,0.741,-25.469,2.017,56.204,49.0
clean_4CTB,pdb,5,4.79,0.213,30.7,44.916,8.849,28.0
clean_4U86,pdb,1,8.95,0.479,-39.127,18.328,15.304,23.0
clean_6EIF,pdb,30,11.72,0.623,5.366,15.404,-45.313,48.0
clean_7NX3,pdb,21,7.62,0.403,-41.882,16.584,-30.857,36.0
clean_2K7B,pdb,3,3.47,0.126,10.396,7.466,-6.113,18.0
clean_5UC1,pdb,11,23.08,0.886,-23.324,7.607,24.247,75.0
clean_5QP2,pdb,1,1.53,0.023,-33.908,18.827,79.137,16.0
clean_7SK8,pdb,16,34.54,0.95,157.773,163.55,166.569,75.0
clean_8WMS,pdb,0,,,,,,
clean_3FLN,pdb,6,13.6,0.692,19.949,11.85,30.12,41.0
clean_8T75,pdb,25,10.27,0.552,15.739,121.736,45.001,50.0
clean_5AY8,pdb,10,11.66,0.62,2.053,19.323,-28.072,50.0
clean_6FD0,pdb,0,,,,,,
clean_6R15,pdb,2,11.5,0.613,35.496,42.325,70.846,42.0
clean_5VCE,pdb,5,56.85,0.985,20.331,29.041,138.518,122.0
clean_1YOM,pdb,5,13.06,0.673,5.506,26.104,32.787,52.0
clean_6GHV,pdb,25,8.56,0.457,15.899,4.077,84.401,41.0
clean_8PY2,pdb,0,,,,,,
clean_2CKE,pdb,20,7.67,0.405,-43.844,-16.84,62.156,47.0
clean_2GQM,pdb,1,1.82,0.034,-1.442,-12.359,10.604,20.0
clean_5Q9S,pdb,5,28.04,0.923,6.631,15.611,29.645,61.0
clean_5I5Z,pdb,14,13.38,0.684,40.496,59.677,54.375,50.0
clean_5Q7J,pdb,5,21.86,0.875,6.468,16.064,28.577,55.0
clean_4MXU,pdb,7,15.46,0.754,-52.078,24.104,-17.805,32.0
clean_3LGE,pdb,31,41.95,0.967,-46.478,-25.602,47.259,126.0
clean_2AX8,pdb,4,33.78,0.947,28.028,1.852,5.809,43.0
clean_6X3U,pdb,64,37.68,0.958,137.427,147.13,123.588,78.0
clean_5WI2,pdb,2,1.54,0.023,11.895,-139.807,-11.07,14.0
clean_7VDP,pdb,15,10.18,0.547,65.604,-42.678,69.178,43.0
clean_3LFF,pdb,7,18.61,0.826,-6.379,-4.548,-4.071,51.0
clean_7VBV,pdb,13,17.99,0.812,42.855,34.907,86.833,41.0
clean_5Q5Z,pdb,6,28.41,0.925,6.395,15.693,30.291,54.0
clean_4J7Y,pdb,0,,,,,,
clean_1CXZ,pdb,3,12.86,0.665,6.404,29.413,50.925,59.0
clean_4L4S,pdb,11,16.43,0.779,36.796,-18.523,15.476,33.0
clean_6D8X,pdb,2,42.73,0.968,1.068,-3.721,-19.292,72.0
clean_2A0Z,pdb,2,1.48,0.021,-54.962,-11.894,19.271,6.0
clean_2Q7J,pdb,2,22.93,0.884,26.642,1.844,4.209,32.0
clean_2EAO,pdb,1,2.15,0.05,21.435,-26.104,16.242,18.0
clean_3LFE,pdb,8,13.91,0.704,20.893,0.274,-22.288,58.0
clean_1A4Y,pdb,19,11.29,0.604,23.551,-3.217,32.865,35.0
clean_8T2H,pdb,12,35.01,0.952,37.865,-8.651,12.351,116.0
clean_6KTM,pdb,3,38.4,0.96,23.1,4.073,23.271,89.0
clean_7FTC,pdb,13,5.46,0.26,-0.243,7.002,-31.723,39.0
clean_4ZHF,pdb,21,18.26,0.819,3.754,-41.036,18.934,41.0
clean_6CFS,pdb,3,20.08,0.849,24.22,-19.84,-17.552,52.0
clean_2ZR4,pdb,2,13.9,0.703,-34.616,-11.347,-11.989,31.0
clean_6NOS,pdb,2,6.56,0.332,24.261,92.808,12.03,45.0
clean_7ZKX,pdb,4,18.22,0.818,-25.431,40.296,-9.128,76.0
clean_5GO4,pdb,4,2.62,0.076,-0.677,13.529,25.497,13.0
clean_3K7H,pdb,1,15.05,0.743,-27.276,-24.999,-3.014,46.0
clean_3D7Z,pdb,5,11.64,0.619,43.208,31.927,32.349,48.0
clean_1CY5,pdb,0,,,,,,
clean_3I9M,pdb,11,21.26,0.867,19.057,7.134,-24.049,55.0
clean_1HJB,pdb,0,,,,,,
clean_3OLF,pdb,6,40.52,0.964,13.833,23.191,3.107,68.0
clean_1HWJ,pdb,19,9.88,0.531,-10.062,-26.884,21.88,34.0
clean_3ZOV,pdb,3,15.81,0.762,-16.154,39.142,94.406,62.0
clean_4JNM,pdb,12,89.76,0.995,11.303,10.04,6.749,156.0
clean_3SL8,pdb,22,46.63,0.975,50.269,-0.525,23.83,90.0
clean_7E5B,pdb,4,5.42,0.257,21.012,0.867,54.97,37.0
clean_3WS8,pdb,12,38.71,0.96,15.748,-0.137,59.95,76.0
pocket48_atm,pdb,0,,,,,,
clean_2C0L,pdb,4,6.48,0.327,12.968,8.703,52.982,35.0
clean_4LXA,pdb,13,17.47,0.803,30.949,5.527,15.022,50.0
clean_4HKK,pdb,8,32.62,0.944,-29.905,5.041,-15.339,82.0
clean_3WFG,pdb,8,34.5,0.95,0.578,31.534,41.291,37.0
clean_7VPX,pdb,77,37.38,0.958,277.031,228.185,289.986,87.0
clean_2FSO,pdb,8,11.59,0.617,-6.804,3.958,4.437,42.0
clean_6C7E,pdb,28,62.98,0.989,36.145,-32.834,-39.346,81.0
clean_8CWL,pdb,8,29.93,0.933,142.564,139.338,137.055,91.0
clean_6RZ4,pdb,9,26.02,0.91,41.518,26.584,58.887,83.0
clean_4TKG,pdb,13,18.8,0.83,18.945,20.192,17.812,68.0
clean_7E5H,pdb,3,70.99,0.991,9.025,7.085,-6.068,103.0
clean_6N0Q,pdb,7,25.55,0.907,-27.666,18.232,-4.079,78.0
clean_4GSM,pdb,6,20.64,0.859,23.447,-13.684,29.169,35.0
clean_6KJX,pdb,0,,,,,,
clean_3KZ8,pdb,8,2.03,0.045,1.068,0.945,13.743,16.0
clean_7SES,pdb,12,29.5,0.931,-31.39,-44.736,-9.037,80.0
clean_6ITJ,pdb,8,15.72,0.76,405.675,2.442,79.564,47.0
clean_2AR5,pdb,1,3.84,0.149,-17.259,47.877,5.287,25.0
clean_6MA1,pdb,5,41.95,0.967,-35.329,10.226,6.484,154.0
clean_5WWX,pdb,0,,,,,,
clean_5QGH,pdb,2,9.87,0.53,38.323,-44.254,76.191,38.0
clean_8C0D,pdb,6,5.72,0.277,-3.232,-3.315,29.731,37.0
clean_8X81,pdb,0,,,,,,
clean_5PY1,pdb,6,6.9,0.356,22.0,19.407,22.462,29.0
clean_5BK8,pdb,7,10.98,0.589,24.247,29.291,12.229,28.0
clean_2Q8K,pdb,8,30.47,0.934,29.549,12.909,35.955,44.0
clean_6Q01,pdb,3,7.52,0.396,11.629,19.761,29.651,34.0
clean_2D7N,pdb,1,0.82,0.003,-7.054,5.397,4.406,9.0
clean_1DHF,pdb,7,34.19,0.949,5.398,24.485,65.715,89.0
clean_8ESV,pdb,7,8.79,0.47,204.693,197.861,191.87,34.0
clean_5Y6L,pdb,21,10.43,0.56,16.251,16.943,24.776,49.0
clean_8W8T,pdb,5,19.38,0.838,-8.568,1.028,-17.626,50.0
clean_5T23,pdb,17,23.83,0.893,-43.194,-0.511,-20.181,78.0
clean_6ODA,pdb,16,16.24,0.774,123.079,-8.823,-52.618,46.0
clean_7BKG,pdb,9,31.05,0.937,-3.258,-0.997,7.292,69.0
clean_5QHF,pdb,2,9.71,0.522,37.561,-43.682,74.612,44.0
clean_4GRA,pdb,6,72.88,0.992,5.671,-13.886,-2.257,116.0
clean_7NN2,pdb,4,11.3,0.605,-21.008,-15.992,7.72,50.0
clean_6TP5,pdb,12,32.56,0.944,2.028,33.767,26.077,46.0
clean_4NIK,pdb,5,5.71,0.277,8.696,51.026,31.511,32.0
clean_5ZXB,pdb,8,19.36,0.838,-15.286,1.454,11.035,66.0
clean_2O3S,pdb,12,14.4,0.721,17.5,5.629,-29.942,51.0
clean_8VCG,pdb,0,,,,,,
clean_2CNO,pdb,4,3.62,0.135,35.49,36.483,31.277,17.0
clean_6KZ1,pdb,0,,,,,,
clean_2VYT,pdb,3,5.73,0.278,-1.738,20.447,4.01,19.0
clean_2Q5H,pdb,7,26.66,0.916,86.546,11.405,-135.739,78.0
clean_2GIU,pdb,3,26.11,0.911,22.992,9.352,114.728,41.0
clean_5MO3,pdb,5,1.98,0.042,45.172,18.794,-47.578,13.0
clean_3BYZ,pdb,24,38.25,0.959,15.468,16.814,140.099,115.0
clean_6FNZ,pdb,3,2.05,0.045,-41.199,-6.167,-7.747,26.0
clean_7W3N,pdb,0,,,,,,
clean_5N6O,pdb,4,10.84,0.582,-8.758,-7.694,12.141,46.0
clean_6RTY,pdb,5,33.65,0.947,-15.501,21.162,-45.618,54.0
clean_5PWT,pdb,7,8.0,0.425,22.042,19.459,22.564,32.0
clean_4BTK,pdb,2,9.55,0.513,63.111,19.471,25.586,35.0
clean_7B1J,pdb,0,,,,,,
clean_8QT8,pdb,5,28.36,0.925,0.601,19.125,8.576,63.0
clean_1U71,pdb,2,34.78,0.951,28.978,11.628,2.075,84.0
clean_6E7F,pdb,9,3.94,0.156,-36.464,17.117,35.672,29.0
clean_5J1S,pdb,11,37.01,0.956,-22.632,-0.71,-7.599,78.0
clean_5TXD,pdb,0,,,,,,
clean_2YJD,pdb,8,24.42,0.898,-14.029,-18.244,2.382,40.0
clean_6XVT,pdb,1,10.71,0.575,-18.032,9.91,9.357,51.0
clean_1CSK,pdb,2,12.69,0.659,37.386,50.657,15.585,41.0
clean_4QML,pdb,3,13.79,0.699,47.691,-0.504,17.724,67.0
clean_8EZD,pdb,13,6.81,0.349,202.159,226.085,231.073,29.0
clean_5Q6O,pdb,6,28.56,0.926,6.56,15.766,30.02,58.0
clean_4I5P,pdb,9,18.0,0.812,11.798,5.578,10.329,43.0
clean_8YWR,pdb,7,7.87,0.418,29.094,61.04,20.735,36.0
clean_3EDQ,pdb,10,22.95,0.885,0.931,-8.754,32.001,59.0
clean_1N99,pdb,9,11.61,0.618,21.924,10.908,16.977,29.0
clean_8XQT,pdb,20,111.9,0.997,135.105,130.164,108.786,180.0
clean_3NAX,pdb,6,29.39,0.931,8.502,-4.414,7.076,70.0
clean_5ZAD,pdb,27,6.69,0.34,9.043,3.463,-34.896,27.0
clean_3BQO,pdb,3,2.99,0.098,42.392,31.622,-14.115,18.0
clean_2QDM,pdb,4,9.26,0.497,-24.177,19.352,-18.82,24.0
clean_3DSZ,pdb,6,18.56,0.825,28.372,80.204,44.121,48.0
clean_2YY1,pdb,1,7.91,0.42,21.069,10.624,28.942,30.0
clean_5UFS,pdb,11,31.3,0.938,8.801,41.69,44.762,40.0
clean_2AXA,pdb,6,37.01,0.956,27.801,2.046,5.455,50.0
clean_7RG5,pdb,6,3.45,0.125,-15.244,11.648,-26.997,23.0
clean_5NI7,pdb,3,45.39,0.973,-26.701,6.648,-15.266,75.0
clean_2WND,pdb,0,,,,,,
clean_1Q9M,pdb,21,46.13,0.974,-2.469,-0.14,-2.083,97.0
clean_5QDD,pdb,13,10.79,0.579,31.502,5.568,15.235,41.0
clean_1LDJ,pdb,17,7.49,0.394,63.552,12.592,-12.061,39.0
clean_3CO7,pdb,0,,,,,,
clean_1S9C,pdb,45,18.15,0.816,-22.559,52.437,110.936,57.0
clean_4DJV,pdb,14,22.54,0.881,22.115,10.415,21.53,60.0
clean_4O15,pdb,12,70.21,0.991,13.197,10.463,4.582,127.0
clean_8CGH,pdb,3,17.47,0.803,95.778,102.396,114.054,69.0
clean_7BKN,pdb,3,7.81,0.414,11.107,-1.434,8.256,32.0
clean_3PD1,pdb,3,2.49,0.069,28.902,12.509,50.346,26.0
clean_1R1W,pdb,10,16.29,0.775,18.228,11.348,139.006,36.0
clean_7CBJ,pdb,7,46.71,0.975,24.86,-1.048,28.34,68.0
clean_6X3X,pdb,45,26.2,0.911,89.227,124.379,104.058,52.0
clean_6FGB,pdb,12,19.69,0.843,26.055,-77.367,51.608,78.0
clean_1HW9,pdb,23,10.81,0.58,-10.501,-27.594,22.006,39.0
clean_6EKD,pdb,2,6.88,0.354,12.983,35.191,10.924,37.0
clean_6J8N,pdb,9,11.02,0.591,11.169,-10.731,-1.347,39.0
clean_2YUP,pdb,1,1.51,0.022,1.439,-4.809,-4.554,14.0
clean_3U2U,pdb,6,44.5,0.972,42.054,10.942,42.722,81.0
clean_2HIZ,pdb,11,17.15,0.797,-21.751,56.548,63.456,51.0
clean_6VFR,pdb,7,10.3,0.553,19.89,28.002,24.817,45.0
clean_5Q46,pdb,4,21.33,0.868,6.033,15.898,30.108,61.0
clean_5T7L,pdb,0,,,,,,
clean_1Z70,pdb,6,30.31,0.934,29.848,45.162,26.884,51.0
clean_9COV,pdb,0,,,,,,
clean_6GLJ,pdb,1,26.51,0.914,-14.569,-13.035,12.171,50.0
clean_5QRQ,pdb,0,,,,,,
clean_3I4A,pdb,7,20.88,0.863,-26.246,-19.767,-53.688,69.0
clean_3HGZ,pdb,37,19.85,0.846,-76.571,76.468,24.788,63.0
clean_6SFI,pdb,8,29.57,0.932,53.437,67.496,17.411,79.0
clean_3OZJ,pdb,10,48.25,0.977,14.026,14.255,17.774,52.0
clean_6W9L,pdb,5,34.15,0.949,5.08,-28.902,10.63,42.0
clean_6XKA,pdb,4,6.41,0.323,14.449,23.029,16.293,30.0
clean_8ZQ3,pdb,3,6.77,0.346,-23.176,-11.046,-11.116,34.0
clean_8UD9,pdb,193,47.17,0.975,122.234,130.023,156.976,151.0
clean_6SBV,pdb,43,31.19,0.938,-3.769,168.736,400.362,86.0
clean_4S0S,pdb,7,50.43,0.98,-18.729,19.25,1.888,82.0
clean_3THJ,pdb,10,22.46,0.881,21.846,-16.727,6.228,31.0
clean_7XY8,pdb,12,10.45,0.561,92.027,15.17,46.428,39.0
clean_8H1T,pdb,23,14.26,0.717,172.603,177.319,149.987,67.0
clean_5HQY,pdb,2,34.34,0.95,-4.191,19.083,28.412,88.0
clean_3H8Z,pdb,1,5.48,0.261,20.727,49.357,31.052,15.0
clean_2A2A,pdb,23,22.17,0.878,1.315,-2.981,11.864,69.0
clean_6TM6,pdb,0,,,,,,
clean_5FTO,pdb,4,10.84,0.581,5.102,16.793,8.158,41.0
clean_3NOA,pdb,6,61.64,0.988,-8.358,3.728,37.816,110.0
clean_2F13,pdb,3,9.22,0.494,56.016,23.627,26.901,29.0
clean_8Q8R,pdb,4,2.27,0.057,155.946,117.979,143.544,16.0
clean_2OHF,pdb,6,2.33,0.06,67.264,9.762,18.237,22.0
clean_1B8M,pdb,3,6.03,0.297,-0.446,34.902,3.59,34.0
pocket22_atm,pdb,0,,,,,,
clean_4ANQ,pdb,4,9.1,0.487,31.157,44.028,8.225,30.0
clean_6WZG,pdb,23,66.94,0.99,106.655,118.053,149.923,138.0
clean_8J1K,pdb,1,18.83,0.831,-23.833,-25.197,-4.289,37.0
clean_5VZG,pdb,4,12.57,0.655,2.505,-1.722,-6.777,42.0
clean_2WKR,pdb,3,20.61,0.859,16.498,-50.263,-8.656,38.0
clean_5YVN,pdb,5,13.4,0.685,18.966,-2.492,17.016,34.0
clean_3IV1,pdb,2,10.04,0.54,-20.294,14.049,192.555,58.0
clean_5VSX,pdb,3,5.06,0.231,25.456,5.629,12.691,29.0
clean_3X07,pdb,12,14.2,0.715,34.388,2.38,-19.743,49.0
clean_7K2H,pdb,13,15.04,0.743,6.231,-9.243,35.505,42.0
clean_5HTI,pdb,4,28.21,0.924,9.491,-17.112,-29.07,72.0
clean_2H4J,pdb,2,23.12,0.886,5.917,23.1,12.956,55.0
clean_1XTG,pdb,4,13.74,0.697,73.211,19.256,-70.534,45.0
clean_5D68,pdb,15,17.27,0.8,139.987,-7.901,59.828,59.0
clean_3ZRC,pdb,16,8.4,0.448,-54.977,33.062,1.862,44.0
clean_8D6N,pdb,1,38.81,0.961,8.013,1.792,18.072,66.0
clean_6H00,pdb,1,5.33,0.251,-29.35,-18.622,-4.949,23.0
clean_2CT3,pdb,1,2.44,0.066,-7.816,6.105,-7.699,14.0
clean_4Y86,pdb,10,34.96,0.952,79.833,51.38,39.618,71.0
clean_9G13,pdb,0,,,,,,
clean_5W1F,pdb,11,14.1,0.711,-22.678,41.315,-25.37,52.0
clean_6EJA,pdb,11,31.21,0.938,1.677,28.695,60.658,69.0
clean_1UMO,pdb,8,35.54,0.953,-3.606,2.976,48.975,59.0
clean_6BTH,pdb,4,51.37,0.981,15.063,5.608,-6.284,60.0
clean_1PJP,pdb,2,3.51,0.129,67.009,54.217,-6.825,18.0
clean_5KVH,pdb,9,50.4,0.98,-39.442,-16.334,-34.662,132.0
clean_6NVL,pdb,13,13.6,0.692,73.642,17.916,45.717,45.0
clean_2E2X,pdb,9,54.63,0.984,-27.147,-7.443,-33.965,75.0
clean_1WGO,pdb,2,1.46,0.02,-0.751,-4.005,-0.769,11.0
clean_4F6W,pdb,13,14.24,0.716,40.081,59.0,139.82,48.0
clean_3TE3,pdb,1,1.6,0.025,15.69,-30.731,-3.611,21.0
clean_5Q7K,pdb,7,24.96,0.902,5.915,74.425,143.924,61.0
clean_4ZT1,pdb,1,0.97,0.005,14.776,11.423,26.795,12.0
clean_2JBK,pdb,6,28.05,0.923,19.773,45.985,43.91,63.0
clean_5AM7,pdb,7,8.58,0.458,215.418,4.485,17.977,28.0
clean_3SCJ,pdb,33,37.28,0.957,-4.899,32.441,5.022,145.0
clean_2MXT,pdb,1,4.72,0.207,3.871,-0.105,3.313,18.0
clean_3IR2,pdb,8,9.45,0.508,25.651,-42.819,-6.865,29.0
clean_6US1,pdb,0,,,,,,
clean_2CJY,pdb,3,2.66,0.078,42.675,22.666,24.857,19.0
clean_1LUJ,pdb,5,4.65,0.202,26.994,32.373,43.742,27.0
clean_5H25,pdb,10,32.14,0.942,23.328,26.807,17.559,64.0
clean_2E9J,pdb,1,0.85,0.003,0.057,-2.147,-0.374,8.0
clean_2PQ5,pdb,8,44.9,0.972,-23.697,-2.116,11.696,105.0
clean_1P4O,pdb,21,7.28,0.38,27.992,66.688,-5.831,37.0
clean_4QMO,pdb,3,13.42,0.686,125.801,-1.228,75.257,46.0
clean_7WGL,pdb,11,37.17,0.957,13.532,0.46,36.368,86.0
clean_5FVU,pdb,12,80.05,0.994,117.141,246.26,353.119,161.0
clean_6HVB,pdb,0,,,,,,
clean_4QU9,pdb,3,4.13,0.167,5.899,114.591,99.29,24.0
clean_6GLR,pdb,5,53.24,0.983,10.734,-0.062,-15.264,126.0
clean_5CRW,pdb,1,1.93,0.04,7.322,-31.991,11.729,18.0
clean_5N86,pdb,4,5.69,0.275,13.406,0.168,21.957,34.0
clean_5AJQ,pdb,6,23.72,0.891,12.851,9.869,38.08,92.0
clean_7O0B,pdb,1,2.91,0.093,14.25,6.851,-0.979,17.0
clean_5Q9Z,pdb,5,23.58,0.89,6.34,15.719,30.12,53.0
clean_3L38,pdb,5,18.43,0.822,14.595,-8.767,16.191,50.0
clean_2YIQ,pdb,2,4.34,0.18,-36.418,34.068,8.85,25.0
clean_5U62,pdb,9,37.12,0.957,24.561,22.023,118.784,76.0
clean_6FMP,pdb,9,29.61,0.932,-4.712,3.703,-22.175,133.0
clean_4GSC,pdb,34,38.54,0.96,105.903,-35.76,3.068,114.0
clean_3SML,pdb,3,6.35,0.319,19.083,-19.893,3.173,28.0
clean_1XKT,pdb,9,17.27,0.8,26.127,27.918,28.438,82.0
clean_8I18,pdb,5,64.33,0.989,11.599,-0.376,-15.556,144.0
clean_9CDA,pdb,18,54.9,0.984,110.891,129.25,121.618,86.0
clean_5JPO,pdb,26,24.26,0.897,33.654,-0.237,7.649,58.0
clean_4M6T,pdb,3,3.26,0.114,-17.422,13.539,16.125,28.0
clean_8GEB,pdb,22,35.26,0.952,159.403,162.441,124.772,47.0
clean_6URL,pdb,0,,,,,,
clean_3GHC,pdb,3,37.24,0.957,-4.824,19.417,3.839,97.0
clean_1ROA,pdb,1,1.19,0.01,25.311,9.066,1.205,21.0
clean_5MMW,pdb,2,29.34,0.93,1.584,-18.818,-4.555,43.0
clean_5LIW,pdb,2,56.13,0.984,-4.174,27.144,-4.406,121.0
clean_3S35,pdb,6,17.12,0.796,34.315,-27.366,-1.328,35.0
clean_3HB0,pdb,14,11.32,0.606,-35.773,-11.467,-26.287,63.0
clean_4D75,pdb,7,34.35,0.95,-15.926,-25.013,-9.681,70.0
clean_2QD9,pdb,4,14.09,0.711,-2.466,0.203,20.816,46.0
clean_5EOA,pdb,1,1.33,0.015,-2.501,-6.862,-60.912,9.0
clean_3MFW,pdb,9,26.25,0.912,2.973,24.944,29.053,35.0
clean_5PX9,pdb,6,6.76,0.345,21.874,19.724,22.582,31.0
clean_3E6V,pdb,10,26.71,0.916,21.841,-12.183,27.742,46.0
clean_7DUQ,pdb,24,57.39,0.985,86.612,102.778,133.279,123.0
clean_6A7E,pdb,2,32.42,0.943,18.507,5.148,-2.511,83.0
clean_6QE1,pdb,7,16.52,0.78,1.244,21.015,2.622,56.0
clean_4ASZ,pdb,8,13.94,0.705,61.714,30.536,21.128,32.0
clean_4GH6,pdb,7,36.27,0.955,81.362,50.433,39.599,67.0
clean_4M4E,pdb,8,6.86,0.352,20.634,-16.093,-22.497,32.0
clean_5IXK,pdb,9,44.47,0.972,21.703,10.013,-15.423,63.0
clean_4TJU,pdb,21,31.66,0.94,18.623,20.444,17.817,67.0
clean_4PNR,pdb,14,28.99,0.929,18.332,20.268,18.001,66.0
clean_4NE9,pdb,16,13.88,0.702,11.582,16.364,-33.041,70.0
clean_3KAF,pdb,1,6.06,0.299,39.169,-17.933,11.86,21.0
clean_2UV2,pdb,2,9.2,0.493,-30.198,47.343,-6.028,36.0
clean_1OVE,pdb,5,14.76,0.733,21.093,11.528,31.314,47.0
clean_6D66,pdb,8,21.55,0.871,-65.93,-6.848,35.578,46.0
clean_7TYL,pdb,41,81.28,0.994,126.669,125.984,157.51,133.0
clean_2W8N,pdb,3,39.05,0.961,26.555,-43.283,-66.14,116.0
clean_6MEV,pdb,61,27.77,0.922,180.29,-9.853,65.56,72.0
clean_1J2E,pdb,36,18.64,0.826,55.271,63.849,37.345,36.0
clean_4M4Z,pdb,0,,,,,,
clean_4AT3,pdb,4,24.2,0.896,10.014,-28.075,-17.528,73.0
clean_3I5R,pdb,0,,,,,,
clean_6K0T,pdb,10,35.59,0.954,3.101,40.735,-22.113,78.0
clean_5MGL,pdb,1,5.36,0.254,61.654,38.485,-4.207,26.0
clean_2VIE,pdb,5,15.18,0.748,28.644,3.156,33.393,51.0
clean_8DZQ,pdb,18,45.43,0.973,132.952,139.054,155.811,106.0
clean_7EL4,pdb,0,,,,,,
clean_6UJM,pdb,33,12.26,0.645,9.586,11.938,54.494,65.0
clean_4ASQ,pdb,10,46.57,0.975,-22.923,20.302,-6.194,102.0
clean_5OKN,pdb,66,26.39,0.913,-46.106,-9.721,11.172,71.0
clean_6XS9,pdb,7,34.78,0.951,-5.351,44.695,-17.046,61.0
clean_3QD3,pdb,3,25.74,0.908,-46.358,19.854,11.361,68.0
clean_4H1V,pdb,3,6.2,0.309,-31.276,24.57,-23.457,25.0
clean_3KT9,pdb,0,,,,,,
clean_1RYH,pdb,9,4.78,0.211,-3.898,55.973,25.091,20.0
clean_8FYU,pdb,2,20.12,0.85,-6.311,-0.056,13.672,74.0
clean_5Q7O,pdb,7,28.72,0.927,6.716,15.721,29.756,59.0
clean_5RZA,pdb,5,11.54,0.615,5.206,-1.209,-18.285,57.0
clean_4M7B,pdb,8,30.76,0.936,29.404,-4.419,-15.315,96.0
clean_1DC2,pdb,1,5.0,0.227,2.147,-3.326,-10.024,33.0
clean_9MQJ,pdb,0,,,,,,
clean_5JCT,pdb,2,11.93,0.632,58.506,81.232,9.175,53.0
clean_5HHO,pdb,9,17.32,0.8,-72.687,13.551,16.05,66.0
clean_5RYP,pdb,5,14.83,0.736,6.079,-1.225,-18.806,57.0
clean_6CN6,pdb,3,46.62,0.975,-1.109,32.086,13.787,70.0
clean_7BQ4,pdb,8,70.84,0.991,5.563,3.972,31.276,89.0
clean_7XOT,pdb,3,23.58,0.89,15.537,-29.227,7.457,107.0
clean_4OYM,pdb,8,25.44,0.906,16.43,27.83,-3.487,69.0
clean_3R45,pdb,1,12.1,0.639,16.339,-1.25,30.432,45.0
clean_4FT0,pdb,2,6.3,0.316,14.663,-4.548,10.744,32.0
clean_4WY1,pdb,3,23.26,0.887,22.514,37.765,41.77,61.0
clean_8P1O,pdb,2,6.45,0.326,10.877,21.066,6.917,53.0
clean_5IP5,pdb,3,4.08,0.164,119.278,-24.764,-38.673,20.0
clean_4GML,pdb,14,47.38,0.976,-85.239,-40.694,-28.85,114.0
clean_6U7G,pdb,37,54.02,0.984,25.534,-19.137,-38.787,105.0
clean_1RLW,pdb,0,,,,,,
clean_8DKB,pdb,13,3.64,0.137,-23.024,-3.065,21.245,28.0
clean_3S32,pdb,3,7.16,0.372,50.714,23.13,8.007,38.0
clean_8FNJ,pdb,24,14.68,0.731,67.691,94.964,73.341,52.0
clean_3US0,pdb,7,6.97,0.36,-53.355,-4.404,3.545,35.0
clean_8S9G,pdb,22,22.81,0.883,129.973,117.445,139.413,75.0
clean_3VZD,pdb,42,58.14,0.986,-29.265,-28.393,28.509,92.0
clean_3LNY,pdb,0,,,,,,
clean_7LMT,pdb,21,6.73,0.343,-2.604,-17.303,61.29,38.0
clean_3BSQ,pdb,14,15.07,0.744,-34.544,-0.469,18.553,68.0
clean_3VTU,pdb,1,2.02,0.044,-18.846,5.722,-6.168,20.0
clean_5VMY,pdb,1,3.21,0.111,57.627,401.608,25.26,16.0
clean_3E0N,pdb,5,5.13,0.236,23.971,3.209,30.933,15.0
